Fecha,Índice general,"1. Alimentos, bebidas y tabaco","1. Alimentos, bebidas y tabaco, 1.1. Alimentos",1.1.6. Frutas y hortalizas,046 Aguacate,047 Durazno,048 Guayaba,049 Limón,050 Manzana,051 Melón,052 Naranja,055 Papaya,056 Pera,057 Piña,058 Plátanos,059 Sandía,060 Uva,061 Calabacita,062 Cebolla,063 Chayote,064 Chile poblano,066 Chile serrano,068 Ejotes,071 Jitomate,072 Lechuga y col,073 Nopales,077 Papa y otros tubérculos,079 Pepino,080 Tomate verde,082 Zanahoria,065 Chile seco,069 Frijol
Nov-03,55.74544486,42.67481679,42.45413213,47.59287079,27.01932348,52.69595136,42.82293103,43.06548518,46.57064379,72.80130124,26.18415709,32.84469411,31.62891517,41.96690654,37.77487848,65.67976868,49.19835011,85.57803135,72.05063662,36.18242896,55.6702632,59.75211607,52.96003314,48.40468648,55.7073505,50.29534232,40.83944471,41.67006436,58.72799119,61.80804261,39.75776658,40.70969116
Dic 2003,56.17886001,43.66894398,43.54741448,51.80926821,26.54204522,57.208664,45.9904042,44.76452424,49.36156567,70.19214947,23.408776,29.84957524,32.05195406,39.44251318,37.92724841,62.23387473,56.61989921,91.96902195,73.10557883,40.28701173,60.71037775,62.31626917,56.14508105,68.65821342,50.769561,55.28865498,37.8006993,38.20006985,52.82078933,64.33607663,39.94650837,41.20463598
Ene 2004,56.70806045,43.66732949,43.49504885,49.33504062,27.18566711,50.34190538,46.52949804,53.0070729,50.38984735,73.08133754,23.55098999,32.41180422,34.21039852,38.31544994,41.26410975,59.67061742,62.86863409,86.08540657,76.84790913,51.76817821,56.61217507,57.91357924,63.65533369,53.5984991,47.88230938,66.29550031,38.35537988,44.50002042,51.70183657,64.58783106,38.81290679,41.15235983
Feb-04,56.91180262,43.73150578,43.50264386,45.55806018,23.79033774,43.82143287,48.82777144,49.34955051,48.9337142,73.2779732,20.80564167,32.61296584,29.44681838,35.09306298,51.6083799,59.99502043,53.75639847,85.25021183,69.36963567,58.14234708,51.8249182,54.18287882,47.98239775,32.23767911,43.25145776,82.73683452,40.07332476,46.51828719,94.31532858,63.53594046,38.14655622,40.31498226
Mar-04,57.33357537,44.17508913,43.95794499,45.93685221,23.57963581,36.32406376,49.58357151,40.74710315,44.25341461,60.47902601,21.34917588,35.2065876,30.99976308,31.7770059,54.85076384,66.48485642,44.7348991,81.49518821,54.67549363,71.21491142,61.57663679,48.43488574,39.20834584,34.82967419,47.97444431,72.8423298,44.70968936,43.80839541,91.09371206,60.12793147,41.04098055,42.10196327
Abr 2004,57.36003539,44.40313698,44.22217155,46.88679515,25.59367328,42.41230325,46.18217436,44.65576157,47.23668988,50.61062818,25.60234582,36.16034977,35.50756011,37.84609205,56.53085342,70.48543215,43.2430601,52.89517002,46.13855212,71.15658494,56.80982663,47.13791287,36.65702254,44.1440072,44.32707951,52.42852961,42.12825113,44.20602272,55.22453875,57.78113732,46.09289228,41.49958857
May-04,57.56906956,44.60656374,44.41684376,48.34179413,27.45672192,44.85979151,45.9375635,45.43107323,45.37967068,44.39829748,28.09800995,34.76791484,34.46550584,39.11617851,54.99147486,72.34186978,43.16680304,52.33191648,50.66490355,75.56366483,55.76772586,47.10282376,38.49751578,55.28380591,42.32368043,42.49642464,38.26461397,47.33043299,38.04044511,55.59868287,45.58651188,40.7010584
Jun-04,57.60664279,44.28366413,44.04548753,45.4204005,29.83095732,40.23214986,52.67801764,37.21533759,43.90690885,49.55218589,27.90014701,28.16097423,33.53259019,41.50896366,50.39826513,63.78130074,46.00134541,51.89383039,38.62887523,65.65331041,49.26430828,60.4671394,45.83941393,43.15042797,48.03229648,38.36917098,38.43362636,45.5203385,38.93827267,52.23438124,46.59044938,41.90628741
Jul-04,57.66432564,44.32402658,44.09145735,45.01836131,30.20544374,38.51920789,50.27881257,37.55824211,46.24391268,51.21952066,29.19479486,32.25731871,35.24941178,36.34132665,50.72873501,64.47272904,47.84116756,57.01377529,38.62993975,64.50679488,52.91949886,61.04776482,47.22274945,39.15457722,50.91204874,44.66595883,36.88434611,46.67624247,41.87410461,53.75772863,46.59044938,41.94849201
Ago 2004,57.92416306,44.92623436,44.78859973,46.65705847,34.74747783,37.02862857,47.03771866,34.95284748,44.05297159,51.9809753,29.23925513,34.41846365,36.59725695,46.61751126,48.58470109,60.10749592,41.21018211,57.00930502,45.09319062,62.00333105,45.69840168,57.77388486,46.89516538,49.27359606,49.2734397,45.62100508,33.61503441,48.14668746,44.20184224,52.5106118,46.62842791,41.31206587
